features,site,L,epoch,unit1,unit2,dropout,mse,rmse,mae,test_r2
col2,Torgnon,14,100,32,32,0.2,2.2217537344706133,1.4905548411482932,0.8416134750415352,0.7475264276127316
col2,Torgnon,14,150,32,32,0.2,1.6848034774337002,1.2979997987032588,0.7510978073135957,0.8085438785952876
col2,Torgnon,14,50,32,32,0.3,1.5511962481763821,1.245470291968613,0.7494925006011485,0.8237266119216693
col2,Torgnon,14,100,32,32,0.3,1.8072298375932188,1.3443324877400005,0.7761231289365711,0.7946317064115379
col2,Torgnon,14,150,32,32,0.3,1.4004288742270012,1.1833971751812666,0.679061055616419,0.8408593737169441
col2,Torgnon,3,50,32,64,0.1,1.2033342907704478,1.096965947862762,0.6463238896446241,0.8626930800080759
col2,Torgnon,3,100,32,64,0.1,1.2665721520688151,1.1254208777469943,0.6271418177775325,0.855477299631539
col2,Torgnon,3,150,32,64,0.1,0.9976610901496559,0.9988298604615582,0.5955733035868948,0.8861614993149344
col2,Torgnon,3,50,32,64,0.2,1.645100474313735,1.2826147022055123,0.7595653736580861,0.8122851804874205
col2,Torgnon,3,100,32,64,0.2,1.3110717423824017,1.145020411338768,0.645865593308801,0.8503996568404
col2,Torgnon,3,150,32,64,0.2,1.2143735656925654,1.1019861912440487,0.6322864613412094,0.8614334393162698
col2,Torgnon,3,50,32,64,0.3,1.2138212126078936,1.1017355456768623,0.6353168625963184,0.8614964657764863
col2,Torgnon,3,100,32,64,0.3,1.146988868321185,1.070975661871541,0.6149849205493304,0.8691223960106962
col2,Torgnon,3,150,32,64,0.3,1.1711693953706526,1.082205800839495,0.5958236207900193,0.8663632677132568
col2,Torgnon,5,50,32,64,0.1,1.1904691856123943,1.091086241143382,0.600187195228435,0.8644462387644489
col2,Torgnon,5,100,32,64,0.1,1.269324887565005,1.1266431944342472,0.6573323928603686,0.8554672688560028
col2,Torgnon,5,150,32,64,0.1,1.3262541016954514,1.1516310614495648,0.6721406859890062,0.8489849766700053
col2,Torgnon,5,50,32,64,0.2,1.4402424360367563,1.2001010107639924,0.6814305093276245,0.8360056004344155
col2,Torgnon,5,100,32,64,0.2,1.058573468032233,1.028869995690531,0.599492645880215,0.8794646540455262
col2,Torgnon,5,150,32,64,0.2,1.4450047774182821,1.202083515159526,0.6323857912643671,0.8354633324829595
col2,Torgnon,5,50,32,64,0.3,1.186084882778035,1.0890752420186747,0.6385579388958723,0.8649454610431737
col2,Torgnon,5,100,32,64,0.3,0.9328211330910908,0.965826657890064,0.5630656734238964,0.8937835479668803
col2,Torgnon,5,150,32,64,0.3,0.9846679047655581,0.9923043407974985,0.5658292175509616,0.8878799723066841
col2,Torgnon,7,50,32,64,0.1,1.1266481386993643,1.0614368274651884,0.6213087810059111,0.8717132752065568
col2,Torgnon,7,100,32,64,0.1,1.870449879558841,1.3676439154834277,0.7843995652782061,0.7870196730490285
col2,Torgnon,7,150,32,64,0.1,1.526003763580157,1.235315248663335,0.7141621445591259,0.8262403157403124
col2,Torgnon,7,50,32,64,0.2,0.9983955124605951,0.9991974341743453,0.5907382502921639,0.8863168668703422
col2,Torgnon,7,100,32,64,0.2,1.3723289513694517,1.17146444733481,0.6508850629358882,0.8437386256958215
col2,Torgnon,7,150,32,64,0.2,1.964789813285448,1.4017096037644345,0.7233978134301428,0.7762775782464858
col2,Torgnon,7,50,32,64,0.3,1.1411281176327528,1.0682359840563098,0.6183675695293648,0.8700645003951175
col2,Torgnon,7,100,32,64,0.3,1.3215982827945658,1.1496078821905171,0.6931263030840472,0.8495151153508498
col2,Torgnon,7,150,32,64,0.3,1.527433576329199,1.235893836997822,0.7205554638943041,0.8260775089257073
col2,Torgnon,14,50,32,64,0.1,1.3951607999907816,1.1811692512044079,0.7208958068252118,0.8414580222086216
col2,Torgnon,14,100,32,64,0.1,2.246877368862315,1.4989587615616098,0.8723961407522677,0.7446714515513384
col2,Torgnon,14,150,32,64,0.1,1.6594010635915846,1.2881774192989042,0.7392812776264746,0.8114305343350637
col2,Torgnon,14,50,32,64,0.2,1.7156321976624753,1.309821437319788,0.7387935576597728,0.8050405933267513
