yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2021,4,7,18,0,3.95,0.2,,3.2029985033202726,-229.37,0.7072949000000001,0.351813,21.9962
2021,4,7,18,30,3.95,0.2,,3.2029985033202726,-222.08,0.6451364,0.288129,18.9833
2021,4,7,19,0,3.95,0.2,,3.2029985033202726,638.109,1.1032361000000002,0.357199,356.879
2021,4,7,19,30,3.95,0.2,,3.2029985033202726,480.19,0.5735110999999999,0.297229,359.406
2021,4,7,20,0,3.95,0.2,,3.2029985033202726,202.554,0.5673305999999999,0.29028200000000004,355.912
2021,4,7,20,30,3.95,0.2,,3.2029985033202726,855.67,0.83089167,0.418504,349.11300000000006
2021,4,7,21,0,3.95,0.2,,3.2029985033202726,922.204,0.9059441999999999,0.451667,350.49800000000005
2021,4,7,21,30,3.95,0.2,,3.2029985033202726,501.474,0.84175116,0.43321499999999996,345.569
2021,4,7,22,0,3.95,0.2,,3.2029985033202726,522.8290000000001,0.7914770999999999,0.449949,341.713
2021,4,7,22,30,3.95,0.2,,3.2029985033202726,382.635,0.7331446,0.384751,337.481
2021,4,7,23,0,3.95,0.2,,3.2029985033202726,148.35,0.5063151,0.287702,338.309
2021,4,7,23,30,3.95,0.2,,3.2029985033202726,73.8431,0.41344288,0.235864,340.907
2021,4,8,0,0,3.95,0.2,,3.2029985033202726,100.274,0.6261701,0.25556100000000004,330.311
2021,4,8,0,30,3.95,0.2,,3.2029985033202726,171.50400000000002,0.5624856,0.145573,290.052
2021,4,8,1,30,3.95,0.2,,3.2029985033202726,-71.6889,0.4068845,0.178309,195.66099999999997
2021,4,8,2,0,3.95,0.2,,3.2029985033202726,-36.2,0.34480283,0.154676,187.021
2021,4,8,2,30,3.95,0.2,,3.2029985033202726,-64.518,0.32018745,0.17713399999999999,183.99900000000002
2021,4,8,3,0,3.95,0.2,,3.2029985033202726,-179.145,0.45291498,0.168447,203.679
2021,4,8,6,30,3.95,0.2,,3.2029985033202726,45.9044,0.50261414,0.216475,212.076
2021,4,8,7,0,3.95,0.2,,3.2029985033202726,19.054000000000002,0.38268787,0.166902,216.063
2021,4,8,7,30,3.95,0.2,,3.2029985033202726,-132.22,0.3218105,0.19627999999999998,230.678
2021,4,8,8,0,3.95,0.2,,3.2029985033202726,-22.9319,0.6830826999999999,0.203451,267.48900000000003
2021,4,8,8,30,3.95,0.2,,3.2029985033202726,-92.4006,0.6886015,0.32816599999999996,284.325
2021,4,8,9,0,3.95,0.2,,3.2029985033202726,-141.197,0.7632248,0.41678000000000004,292.709
2021,4,8,9,30,3.95,0.2,,3.2029985033202726,-60.6367,0.79487795,0.330203,306.733
2021,4,8,10,0,3.95,0.2,,3.2029985033202726,-28.6985,0.95952123,0.273027,320.062
2021,4,8,10,30,3.95,0.2,,3.2029985033202726,-13.5199,0.6710119000000001,0.186533,339.63699999999994
2021,4,8,11,0,3.95,0.2,,3.2029985033202726,-57.8037,0.8026101,0.315278,310.186
2021,4,8,11,30,3.95,0.2,,3.2029985033202726,-206.907,1.037762,0.40625,308.65
2021,4,8,12,0,3.95,0.2,,3.2029985033202726,-109.07799999999999,1.0308491,0.39263200000000004,304.211
2021,4,8,12,30,3.95,0.2,,3.2029985033202726,-193.32299999999998,0.90634596,0.404418,320.89599999999996
2021,4,8,13,0,3.95,0.2,,3.2029985033202726,-77.4445,0.9072916,0.4004,315.367
2021,4,8,13,30,3.95,0.2,,3.2029985033202726,-99.1203,0.828,0.37667399999999995,320.69
2021,4,8,14,0,3.95,0.2,,3.2029985033202726,-68.7443,0.83984226,0.311873,310.586
2021,4,8,14,30,3.95,0.2,,3.2029985033202726,-105.02799999999999,0.9843891,0.357348,325.036
2021,4,8,15,0,3.95,0.2,,3.2029985033202726,-69.0878,0.9651684000000001,0.33482,325.283
2021,4,8,15,30,3.95,0.2,,3.2029985033202726,-49.0341,0.7984973000000001,0.25202800000000003,319.134
2021,4,8,16,0,3.95,0.2,,3.2029985033202726,-382.04699999999997,0.82164717,0.31855300000000003,330.51599999999996
2021,4,8,16,30,3.95,0.2,,3.2029985033202726,-161.684,0.7368425999999999,0.36288000000000004,337.97
2021,4,8,17,0,3.95,0.2,,3.2029985033202726,-610.132,0.8668189000000001,0.45522700000000005,333.577
2021,4,8,17,30,3.95,0.2,,3.2029985033202726,66677.2,0.8157745,0.44116000000000005,335.025
2021,4,8,18,0,3.95,0.2,,3.2029985033202726,3479.17,0.9009362,0.511824,334.98400000000004
2021,4,8,18,30,3.95,0.2,,3.2029985033202726,-863.584,0.8480401,0.48761499999999997,340.73400000000004
2021,4,8,19,0,3.95,0.2,,3.2029985033202726,637.4159999999999,0.78481144,0.40639899999999995,341.392
2021,4,8,19,30,3.95,0.2,,3.2029985033202726,-2479.74,0.6152032,0.337805,342.425
2021,4,8,20,0,3.95,0.2,,3.2029985033202726,780.268,0.5716511,0.289555,343.73800000000006
2021,4,8,20,30,3.95,0.2,,3.2029985033202726,4859.35,0.55099636,0.281704,341.07
2021,4,8,21,0,3.95,0.2,,3.2029985033202726,4241.2,0.68861383,0.30112300000000003,338.906
2021,4,8,21,30,3.95,0.2,,3.2029985033202726,-3780.83,0.7622591,0.386895,321.764
2021,4,8,22,0,3.95,0.2,,3.2029985033202726,2301.15,0.7767876,0.45851899999999995,316.953
2021,4,8,22,30,3.95,0.2,,3.2029985033202726,1247.6,0.7652770999999999,0.441233,309.077
2021,4,8,23,0,3.95,0.2,,3.2029985033202726,554.0319999999999,0.7367781,0.379748,304.375
2021,4,8,23,30,3.95,0.2,,3.2029985033202726,318.829,0.5587333999999999,0.30642800000000003,298.936
2021,4,9,0,0,3.95,0.2,,3.2029985033202726,52.3729,0.38915935,0.179315,279.543
2021,4,9,1,30,3.95,0.2,,3.2029985033202726,197.213,0.29551497,0.169964,205.83900000000003
2021,4,9,5,30,3.95,0.2,,3.2029985033202726,-39.2078,0.3458092,0.140769,159.833
2021,4,9,8,0,3.95,0.2,,3.2029985033202726,-21.0892,0.24163236,0.14411500000000002,250.28599999999997
2021,4,9,8,30,3.95,0.2,,3.2029985033202726,-7.19508,0.33545640000000004,0.150196,256.861
2021,4,9,9,0,3.95,0.2,,3.2029985033202726,-16.1096,0.41835153,0.195043,259.58
2021,4,9,9,30,3.95,0.2,,3.2029985033202726,-30.5872,0.5522083000000001,0.20838099999999998,263.874
2021,4,9,10,0,3.95,0.2,,3.2029985033202726,-23.5954,0.47131836,0.22027199999999997,293.389
2021,4,9,10,30,3.95,0.2,,3.2029985033202726,-37.5677,0.43312929999999994,0.227039,315.356
2021,4,9,11,0,3.95,0.2,,3.2029985033202726,-10.8824,0.57247186,0.196758,301.677
2021,4,9,11,30,3.95,0.2,,3.2029985033202726,-3.2575,0.61905897,0.153092,312.285
2021,4,9,12,0,3.95,0.2,,3.2029985033202726,-33.3452,0.61756456,0.26779000000000003,298.134
2021,4,9,12,30,3.95,0.2,,3.2029985033202726,-33.9393,0.7326193,0.29194200000000003,315.106
2021,4,9,13,0,3.95,0.2,,3.2029985033202726,-34.9912,0.61632377,0.256085,297.889
2021,4,9,13,30,3.95,0.2,,3.2029985033202726,-33.9801,0.78329366,0.262292,307.347
2021,4,9,14,0,3.95,0.2,,3.2029985033202726,-21.820999999999998,0.86615473,0.228873,324.779
2021,4,9,14,30,3.95,0.2,,3.2029985033202726,-15.5408,0.71554106,0.169756,35.2667
2021,4,9,15,0,3.95,0.2,,3.2029985033202726,-101.425,0.80450356,0.36661,57.8018
2021,4,9,15,30,3.95,0.2,,3.2029985033202726,-73.0393,0.7849242,0.324701,61.2096
2021,4,9,16,0,3.95,0.2,,3.2029985033202726,-156.312,0.84506863,0.37648000000000004,50.555
2021,4,9,16,30,3.95,0.2,,3.2029985033202726,-29.8987,0.8019875,0.270873,48.8278
2021,4,9,17,0,3.95,0.2,,3.2029985033202726,-68.2489,0.8014306,0.33110700000000004,65.7387
2021,4,9,17,30,3.95,0.2,,3.2029985033202726,-183.24099999999999,0.7641629,0.33734000000000003,72.5663
2021,4,9,18,0,3.95,0.2,,3.2029985033202726,-124.17399999999999,0.6513033,0.26063400000000003,77.96600000000001
2021,4,9,18,30,3.95,0.2,,3.2029985033202726,-166.855,0.59552836,0.284673,72.5479
2021,4,9,19,0,3.95,0.2,,3.2029985033202726,-102.704,0.52037966,0.23781300000000002,66.6469
2021,4,9,19,30,3.95,0.2,,3.2029985033202726,-317.131,0.4370675,0.219467,58.1011
2021,4,9,20,0,3.95,0.2,,3.2029985033202726,-183.546,0.34077558,0.20768899999999998,66.0828
2021,4,9,20,30,3.95,0.2,,3.2029985033202726,-1834.01,0.40964618,0.237117,62.4586
2021,4,9,21,0,3.95,0.2,,3.2029985033202726,-742.3380000000001,0.35272370000000003,0.170572,61.0182
2021,4,9,21,30,3.95,0.2,,3.2029985033202726,117.455,0.8375482,0.200097,19.7743
2021,4,9,22,0,3.95,0.2,,3.2029985033202726,92.3863,0.33038765,0.173748,13.3605
2021,4,9,22,30,3.95,0.2,,3.2029985033202726,49.2954,0.36315975,0.161298,20.0587
2021,4,10,6,30,3.95,0.2,,3.2029985033202726,-320.077,0.27998784,0.179574,285.586
2021,4,10,7,0,3.95,0.2,,3.2029985033202726,-329.43699999999995,0.30217990000000006,0.20038699999999998,293.499
2021,4,10,7,30,3.95,0.2,,3.2029985033202726,-86.0384,0.3282758,0.22214699999999998,292.631
2021,4,10,8,0,3.95,0.2,,3.2029985033202726,-30.9282,0.38893703,0.23270700000000002,297.01099999999997
2021,4,10,8,30,3.95,0.2,,3.2029985033202726,-22.066,0.43185645,0.183444,297.686
2021,4,10,9,0,3.95,0.2,,3.2029985033202726,-43.5297,0.51967394,0.257993,306.117
2021,4,10,9,30,3.95,0.2,,3.2029985033202726,-61.973,0.86210495,0.27477399999999996,326.51599999999996
2021,4,10,10,0,3.95,0.2,,3.2029985033202726,-126.955,1.5152458,0.32553699999999997,355.26800000000003
2021,4,10,10,30,3.95,0.2,,3.2029985033202726,-134.765,1.1528747,0.5058050000000001,4.3117
2021,4,10,11,0,3.95,0.2,,3.2029985033202726,-140.93200000000002,1.2417568,0.5250600000000001,4.22875
2021,4,10,11,30,3.95,0.2,,3.2029985033202726,-180.041,1.1851498,0.568038,4.69945
2021,4,10,12,0,3.95,0.2,,3.2029985033202726,-160.873,1.3127947,0.589349,8.17874
2021,4,10,12,30,3.95,0.2,,3.2029985033202726,-150.12,1.3578587,0.558642,21.2384
2021,4,10,13,0,3.95,0.2,,3.2029985033202726,-118.97200000000001,1.4241348999999999,0.553366,17.7239
2021,4,10,13,30,3.95,0.2,,3.2029985033202726,-128.142,1.3455371,0.5310010000000001,25.8572
2021,4,10,14,0,3.95,0.2,,3.2029985033202726,-102.884,1.2341516000000001,0.534556,29.8372
